unit,yr,quarter,pop,cap_new_cases,cap_new_deaths,cap_new_tests
AFG,2020,1,38928,0.00004185,0.00000036714285714285714285714285714286,0.00038016591428571428571428571428571429
AFG,2020,2,38928,0.00863528020879120879120879120879120879,0.00019731428571428571428571428571428571,0.01947043394505494505494505494505494505
AFG,2020,3,38928,0.0024046729239130434782608695652173913,0.00021026630434782608695652173913043478,0.01123450875
AFG,2020,4,38928,0.00354584051086956521739130434782608696,0.00019883913043478260869565217391304348,0.02524141559782608695652173913043478261
AFG,2021,1,38928,0.00123220314444444444444444444444444444,0.00008764888888888888888888888888888889,0.04023610544444444444444444444444444444
AFG,2021,2,38928,0.01636693048351648351648351648351648352,0.00061831723076923076923076923076923077,0.07251030913186813186813186813186813187
AFG,2021,3,38928,0.0113811005,0.00071121801086956521739130434782608696,0.0451661595760869565217391304347826087
AFG,2021,4,38928,0.00082280959782608695652173913043478261,0.00004246304347826086956521739130434783,0.01661177154347826086956521739130434783
AFG,2022,1,38928,0.00559436778888888888888888888888888889,0.00008767333333333333333333333333333333,0.02860523132222222222222222222222222222
AFG,2022,2,38928,0.00104530953846153846153846153846153846,0.00002174615384615384615384615384615385,0.02181344653846153846153846153846153846
AGO,2020,1,32866,0.00000173714285714285714285714285714286,0,0.0001056155
AGO,2020,2,32866,0.00007961648351648351648351648351648352,0.00000066813186813186813186813186813187,0.00761132596703296703296703296703296703
AGO,2020,3,32866,0.00148561135869565217391304347826086957,0.00005292934782608695652173913043478261,0.01729321183695652173913043478260869565
AGO,2020,4,32866,0.00415752770652173913043478260869565217,0.00007777065217391304347826086956521739,0.0757062934239130434782608695652173913
AGO,2021,1,32866,0.00161464574444444444444444444444444444,0.00004428333333333333333333333333333333,0.04048155135555555555555555555555555556
AGO,2021,2,32866,0.00549617730769230769230769230769230769,0.00011877802197802197802197802197802198,0.07168636147252747252747252747252747253
AGO,2021,3,32866,0.00563586261956521739130434782608695652,0.00020575869565217391304347826086956522,0.11539148433695652173913043478260869565
AGO,2021,4,32866,0.00672558269565217391304347826086956522,0.00007973043478260869565217391304347826,0.09056868602173913043478260869565217391
AGO,2022,1,32866,0.00784939783333333333333333333333333333,0.000047,0.07776391672222222222222222222222222222
AGO,2022,2,32866,0.00015923076923076923076923076923076923,0,0.02029218884615384615384615384615384615
ALB,2020,1,2878,0.00097785607142857142857142857142857143,0.0000347,0
ALB,2020,2,2878,0.00813675553846153846153846153846153846,0.00011824175824175824175824175824175824,0.09675140708791208791208791208791208791
ALB,2020,3,2878,0.04134815847826086956521739130434782609,0.00122746155434782608695652173913043478,0.22548871494565217391304347826086956522
ALB,2020,4,2878,0.16412741333695652173913043478260869565,0.00294588796739130434782608695652173913,0.63984273496739130434782608695652173913
ALB,2021,1,2878,0.25973669988888888888888888888888888889,0.00403443756666666666666666666666666667,1.10721951967777777777777777777777777778
ALB,2021,2,2878,0.03245920175824175824175824175824175824,0.00092780169230769230769230769230769231,0.95419590836263736263736263736263736264
ALB,2021,3,2878,0.13538613772826086956521739130434782609,0.00075912246739130434782608695652173913,1.48609390576086956521739130434782608696
ALB,2021,4,2878,0.15152053056521739130434782608695652174,0.00206589740217391304347826086956521739,1.0561229115
ALB,2022,1,2878,0.25098834062222222222222222222222222222,0.00108868438888888888888888888888888889,1.178851054
ALB,2022,2,2878,0.01940450115384615384615384615384615385,0,0.31482867369230769230769230769230769231
AND,2020,1,77,0.05417439708571428571428571428571428571,0.00074211502857142857142857142857142857,0
AND,2020,2,77,0.07934922228571428571428571428571428571,0.00627943485714285714285714285714285714,0
AND,2020,3,77,0.14610389616304347826086956521739130435,0,0
AND,2020,4,77,0.84584980231521739130434782608695652174,0.00310559006521739130434782608695652174,0
AND,2021,1,77,0.57085137086666666666666666666666666667,0.00375180375555555555555555555555555556,19.74920634943333333333333333333333333333
AND,2021,2,77,0.29113743407692307692307692307692307692,0.00071357214285714285714285714285714286,4.1290138432967032967032967032967032967
AND,2021,3,77,0.1825239979239130434782608695652173913,0,2.49364765669565217391304347826086956522
AND,2021,4,77,1.04263128186956521739130434782608695652,0.00084697910869565217391304347826086957,7.58836815343478260869565217391304347826
AND,2022,1,77,2.48542568532222222222222222222222222222,0,4.65295815288888888888888888888888888889
AND,2022,2,77,0.52847152807692307692307692307692307692,0,0
ARE,2020,1,9890,0.00069764237142857142857142857142857143,0.00000144285714285714285714285714285714,0.49697963307142857142857142857142857143
ARE,2020,2,9890,0.05212724591208791208791208791208791209,0.00034429804395604395604395604395604396,3.11144901604395604395604395604395604396
ARE,2020,3,9890,0.04831955870652173913043478260869565217,0.00011856521739130434782608695652173913,6.44364201872826086956521739130434782609
ARE,2020,4,9890,0.12309095705434782608695652173913043478,0.00027555434782608695652173913043478261,12.75462148890217391304347826086956521739
ARE,2021,1,9890,0.28279519157777777777777777777777777778,0.00092468081111111111111111111111111111,18.29937085722222222222222222222222222222
ARE,2021,2,9890,0.19080434228571428571428571428571428571,0.00035306593406593406593406593406593407,22.20466560692307692307692307692307692308
ARE,2021,3,9890,0.11908493429347826086956521739130434783,0.00032511956521739130434782608695652174,28.73855893097826086956521739130434782609
ARE,2021,4,9890,0.02218864020652173913043478260869565217,0.00006696739130434782608695652173913043,30.19046907206521739130434782608695652174
ARE,2022,1,9890,0.15171329063333333333333333333333333333,0.0001515,41.17097966577777777777777777777777777778
ARE,2022,2,9890,0.02608695646153846153846153846153846154,0,26.29537994923076923076923076923076923077
ARG,2020,1,45196,0.00021652265714285714285714285714285714,0.00000442571428571428571428571428571429,0.00123462251428571428571428571428571429
ARG,2020,2,45196,0.01380142556043956043956043956043956044,0.00029183956043956043956043956043956044,0.07862579498901098901098901098901098901
ARG,2020,3,45196,0.15776477910869565217391304347826086957,0.003516564,0.38040015085869565217391304347826086957
ARG,2020,4,45196,0.21212607308695652173913043478260869565,0.00649441853260869565217391304347826087,0.67805033729347826086956521739130434783
ARG,2021,1,45196,0.17613308945555555555555555555555555556,0.00310720712222222222222222222222222222,0.97644481812222222222222222222222222222
ARG,2021,2,45196,0.50996830412087912087912087912087912088,0.00906868157142857142857142857142857143,1.88059990723076923076923076923076923077
ARG,2021,3,45196,0.20276395177173913043478260869565217391,0.00533882378260869565217391304347826087,1.74322708431521739130434782608695652174
ARG,2021,4,45196,0.06725032415217391304347826086956521739,0.0005096854239130434782608695652173913,0.96777032979347826086956521739130434783
ARG,2022,1,45196,0.85991238162222222222222222222222222222,0.00266761986666666666666666666666666667,1.86751162834444444444444444444444444444
ARG,2022,2,45196,0.039884401,0.00047169230769230769230769230769230769,0.52242710376923076923076923076923076923
